"dc (V)","/net7 (V)"
0.00000,5.000
0.1000,5.000
0.2000,5.000
0.3000,5.000
0.4000,5.000
0.5000,5.000
0.6000,5.000
0.7000,5.000
0.8000,4.998
0.9000,4.992
1.000,4.971
1.100,4.935
1.200,4.885
1.300,4.824
1.400,4.752
1.500,4.668
1.600,4.570
1.700,4.454
1.800,4.313
1.900,4.131
2.000,3.871
2.100,3.302
2.200,2.081
2.300,0.8976
2.400,0.6518
2.500,0.5320
2.600,0.4474
2.700,0.3814
2.800,0.3269
2.900,0.2806
3.000,0.2403
3.100,0.2048
3.200,0.1733
3.300,0.1451
3.400,0.1198
3.500,0.09715
3.600,0.07691
3.700,0.05895
3.800,0.04318
3.900,0.02955
4.000,0.01811
4.100,9.138E-3
4.200,3.255E-3
4.300,7.027E-4
4.400,1.035E-4
4.500,1.29E-5
4.600,1.444E-6
4.700,1.653E-7
4.800,3.192E-8
4.900,1.828E-8
5.000,1.68E-8
